,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-RW,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-RW,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-RW,stick_right-TX,stick_right-TY,stick_right-TZ
396,0.711071,-0.074873,0.566954,0.409066,0.0,0.0,0.0,-0.226039,0.758164,0.605732,-0.084757,-0.426028381,0.698718262,0.984328857,-0.486431,-0.213776,0.188818,0.825853,-0.313452179,0.798357239,1.388897827
397,0.686896,-0.175894,0.626845,0.322956,0.0,0.0,0.0,-0.228506,0.757868,0.605349,-0.083509,-0.42593396,0.6984696659999999,0.9841337889999999,-0.483412,-0.213363,0.18922,0.827638,-0.312796509,0.797775574,1.392003418
398,0.650957,-0.278882,0.668176,0.228081,0.0,0.0,0.0,-0.230785,0.75743,0.605084,-0.083132,-0.425912964,0.698172241,0.984065613,-0.480498,-0.212986,0.189931,0.829267,-0.31213205,0.7971340330000001,1.395062744
399,0.606134,-0.375707,0.688988,0.129389,0.0,0.0,0.0,-0.233053,0.755827,0.606434,-0.081544,-0.425858185,0.6981630249999999,0.98454126,-0.478269,-0.213096,0.189616,0.830599,-0.31151223800000005,0.7966943360000001,1.397863037
400,0.544851,-0.468679,0.694862,0.025388,0.0,0.0,0.0,-0.233201,0.755036,0.607575,-0.079934,-0.42529766799999996,0.698100464,0.9849158330000001,-0.4757,-0.212638,0.18997,0.832109,-0.31082363900000004,0.796189514,1.4007703859999998
401,0.470147,-0.543567,0.691264,-0.075169,0.0,0.0,0.0,-0.235207,0.754755,0.607242,-0.079248,-0.425292786,0.6978701780000001,0.9849070430000001,-0.468869,-0.212063,0.191957,0.83567,-0.310240601,0.794979614,1.4047969969999998
402,0.394489,-0.608419,0.664194,-0.181801,0.0,0.0,0.0,-0.236558,0.751908,0.610123,-0.080153,-0.425720306,0.69796637,0.986282227,-0.470879,-0.211931,0.190649,0.834872,-0.309487823,0.795187378,1.4063839109999998
403,0.292701,-0.662888,0.631819,-0.275157,0.0,0.0,0.0,-0.238368,0.752598,0.608662,-0.07942,-0.425746185,0.697798645,0.9859595339999999,-0.468713,-0.211278,0.190906,0.836197,-0.30873080399999997,0.794757324,1.409111816
404,0.193141,-0.698499,0.582314,-0.368384,0.0,0.0,0.0,-0.241528,0.751886,0.608392,-0.078683,-0.42589859,0.697429321,0.986001221,-0.466094,-0.211241,0.191368,0.837563,-0.308100586,0.794199036,1.411817505
405,0.092043,-0.716553,0.520183,-0.455511,0.0,0.0,0.0,-0.2423,0.75077,0.609602,-0.077592,-0.425582001,0.697375854,0.986640076,-0.466023,-0.21124,0.190649,0.837767,-0.307424866,0.7940189209999999,1.414008667
406,-0.017207,-0.725394,0.447945,-0.522352,0.0,0.0,0.0,-0.242411,0.752731,0.607128,-0.077641,-0.425136658,0.696882751,0.9859360349999999,-0.464037,-0.210965,0.190973,0.838864,-0.306746857,0.793612427,1.4164959719999999
407,-0.125064,-0.716013,0.365336,-0.581561,0.0,0.0,0.0,-0.244636,0.753161,0.605756,-0.077212,-0.425351685,0.696662598,0.985781677,-0.462471,-0.210289,0.190964,0.8399,-0.305971191,0.793325073,1.418881836
